EnsembleGeneName	external_gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000971	CFH	666.682056450277	-7.28962707956436	0.236181338104847	-22.3964650298329	4.26074549672564e-111	7.06474210812079e-108
ENSG00000001561	ENPP4	149.118452445002	-11.3033447981527	1.19281899231105	-7.79946065423368	6.21723201763325e-15	2.84773270951317e-13
ENSG00000002587	HS3ST1	117.772189202161	-5.14319941137089	0.527292670625602	-5.9610147959039	2.50676265913876e-09	6.59756057955234e-08
ENSG00000002746	HECW1	593.44277064305	-7.53887939660787	0.422708347291012	-13.1033120876476	3.15196684885487e-39	5.74316069460028e-37
ENSG00000003436	TFPI	1786.28575760942	-3.3430386592571	0.141799685414075	-9.47137968138107	2.76171508937507e-21	1.99965056318463e-19
ENSG00000005249	PRKAR2B	519.570085021521	-3.0312625770681	0.179642542810049	-5.74063671631801	9.43212371758e-09	2.34122819402985e-07
ENSG00000005379	TSPOAP1	44.1151396190479	-10.2980883667032	1.22982338030212	-6.74738218480171	1.50536380996538e-11	5.02222079135534e-10
ENSG00000005513	SOX8	473.958083437208	-7.95606082263561	1.29712320035379	-4.59174642856677	4.39552226710847e-06	8.13416905255865e-05
ENSG00000006042	TMEM98	240.271866240229	-5.34664793785056	0.334549032993039	-10.0034602040539	1.47163168616144e-23	1.22005624941214e-21
ENSG00000006377	DLX6	165.837491704046	-12.4734085281156	1.23750665470823	-8.46331491492863	2.59882712898324e-17	1.42215025167232e-15
ENSG00000006740	ARHGAP44	104.384346173015	-4.90906195377445	0.411911495830319	-7.06234708965927	1.63713428598968e-12	6.00560256548558e-11
ENSG00000008086	CDKL5	1659.7813985101	-3.54850983302081	0.297584900397546	-5.20359007110959	1.95474942399379e-07	4.22027346344284e-06
ENSG00000008277	ADAM22	584.859497149542	-3.62475108670912	0.219119343092807	-7.41491400885118	1.2170374615664e-13	5.04492453755813e-12
ENSG00000011028	MRC2	8677.91575456894	-3.9778361607855	0.362771609679155	-5.45201473327737	4.98023287610743e-08	1.1485012700798e-06
ENSG00000011201	ANOS1	20.0524061367001	-5.66044506734548	0.985440790219622	-3.71452562515673	0.000203585240089985	0.00304936482920691
ENSG00000011465	DCN	113.808025435793	-6.07874590288246	0.891989975010014	-4.57263648376392	4.81625300512168e-06	8.8929054652475e-05
ENSG00000013297	CLDN11	1412.04929546774	-3.58765622064227	0.322476301189751	-4.92332681435731	8.50851782285657e-07	1.71629846740614e-05
ENSG00000018625	ATP1A2	358.77162278185	-6.96081989262753	0.495239823249818	-10.0170052159257	1.28332669716449e-23	1.07468888715578e-21
ENSG00000019991	HGF	114.302168715717	-5.4166016619692	0.462196196030505	-7.39210251255227	1.44525028852098e-13	5.9463263111579e-12
ENSG00000020181	ADGRA2	938.506978800193	-4.58644039619117	0.253106658588881	-10.2187765845872	1.6338991722327e-24	1.46441525269138e-22
ENSG00000021645	NRXN3	423.368204608713	-5.9609490942321	0.536502919301718	-7.38290315248882	1.54874687558971e-13	6.34068443065506e-12
ENSG00000023171	GRAMD1B	204.647861150378	-4.96782767765233	0.423076316269121	-7.01487548115193	2.30153835739642e-12	8.27804935010631e-11
ENSG00000028137	TNFRSF1B	942.710536152118	-2.6857388519553	0.202257593309787	-3.39042327525867	0.000697847852325898	0.00954704227674564
ENSG00000028277	POU2F2	21.1340865932452	-3.56405185806496	0.460101061852791	-3.39936589532448	0.000675422928901054	0.00927085064909634
ENSG00000034239	EFCAB1	21.2821331480735	-7.25660008583542	1.26627266994179	-4.15123867916777	3.30680687021608e-05	0.000551056931809575
ENSG00000038427	VCAN	19874.3332679031	-3.32240178912424	0.3351799420476	-3.9453488208326	7.96838937057114e-05	0.00126434319764058
ENSG00000039068	CDH1	46.7369382115919	-5.01851790370579	0.689456187852703	-4.37811416720604	1.19710640494972e-05	0.000212518429341235
ENSG00000040731	CDH10	147.207982045619	-4.62233657709601	0.559199561613963	-4.68944676839055	2.73944685094349e-06	5.17933503255348e-05
ENSG00000043355	ZIC2	841.919729315914	-10.6739959078081	0.612764893821329	-14.1555040036894	1.72695152866593e-45	3.92254565709724e-43
ENSG00000047457	CP	258.803870014095	-6.75636256781872	0.876764715873181	-5.42490189409801	5.79863799416827e-08	1.32800022902354e-06
ENSG00000048540	LMO3	99.0938449173966	-8.81228455013969	0.975750696309908	-6.98158307844655	2.91872222338158e-12	1.04075985346e-10
ENSG00000049192	ADAMTS6	258.163631788108	-3.80871909923461	0.309837507064101	-5.83763765844016	5.29461454220117e-09	1.34854076381317e-07
ENSG00000049540	ELN	868.476369912173	-7.6351875222675	0.438316692631611	-12.8564291914925	7.91493297463691e-38	1.36705732971307e-35
ENSG00000050438	SLC4A8	1082.89394483096	-3.20810423680469	0.189664218278506	-6.36970034606468	1.89397868999351e-10	5.65838930788871e-09
ENSG00000053438	NNAT	116.579883499054	-5.25772908425077	0.440295204085154	-7.39896563493049	1.37249361667732e-13	5.66102404431009e-12
ENSG00000056487	PHF21B	159.93135225331	-6.02433478393849	0.508235486701266	-7.91824831055911	2.40879947636607e-15	1.13466773061437e-13
ENSG00000063438	AHRR	33.0597495111873	-4.61338300487182	0.497160161545079	-5.25662192390863	1.467255155282e-07	3.20957225985895e-06
ENSG00000064205	CCN5	15.2775412538997	-4.83735881343673	0.771981422813999	-3.67542369490459	0.000237455006384083	0.00353432806180833
ENSG00000064309	CDON	317.538613254745	-3.51956734435524	0.25146352822597	-6.04289359604358	1.51374490196434e-09	4.09451944852704e-08
ENSG00000065621	GSTO2	36.3662246803084	-4.03521059770497	0.525388972298276	-3.87372157584902	0.000107185863160683	0.00167349227595789
ENSG00000065717	TLE2	432.321210416099	-4.01854420407658	0.30070656997277	-6.71267077489983	1.91093947718909e-11	6.33705749425445e-10
ENSG00000065809	FAM107B	206.139836112722	-4.68819300837651	0.375321090648924	-7.16238195868147	7.92871335162402e-13	3.00150675989219e-11
ENSG00000065833	ME1	1755.36920985321	-6.73982900692975	0.347402576126819	-13.6436207807494	2.20342887263131e-42	4.68398129962818e-40
ENSG00000065989	PDE4A	355.145401000191	-3.20737814960228	0.352236038332483	-3.42775303548756	0.000608598837026444	0.00845865659407835
ENSG00000067141	NEO1	712.869561016633	-3.67073337535696	0.278787472262642	-5.99285671553773	2.06186509642616e-09	5.47881172497469e-08
